 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
189,0.210,1.204,0.021,1.199,1.173,1.240,42.345,15.431,42.346,15.431,1.590,1
190,0.450,1.199,0.016,1.192,1.172,1.233,1.614,15.888,1.614,15.887,2.580,1
191,0.870,1.424,0.204,1.247,1.176,1.919,6.918,16.057,6.914,16.057,3.404,1
192,0.690,1.269,0.059,1.193,1.169,1.382,12.188,15.966,12.185,15.966,2.980,1
193,0.340,1.223,0.032,1.206,1.175,1.283,17.353,16.029,17.351,16.030,2.156,1
194,0.250,1.217,0.033,1.175,1.175,1.277,29.694,15.934,29.693,15.934,1.873,1
195,0.150,1.190,0.011,1.177,1.173,1.209,50.857,16.017,50.857,16.016,1.449,1
196,0.280,1.298,0.086,1.242,1.177,1.461,37.232,16.111,37.232,16.113,1.873,1
197,0.400,1.252,0.054,1.173,1.173,1.343,27.733,16.300,27.731,16.300,2.297,1
198,0.540,1.237,0.055,1.172,1.169,1.359,33.220,16.365,33.223,16.363,2.780,1
199,0.800,1.264,0.099,1.172,1.170,1.568,3.217,16.774,3.218,16.756,4.487,1
200,0.280,1.223,0.036,1.202,1.171,1.285,22.611,16.268,22.611,16.268,1.873,1
201,0.260,1.205,0.027,1.216,1.170,1.252,38.535,16.342,38.535,16.342,1.814,1
202,0.930,1.321,0.102,1.278,1.170,1.556,26.122,16.883,26.126,16.877,4.253,1
203,0.400,1.207,0.025,1.181,1.170,1.264,5.253,16.740,5.253,16.742,2.331,1
204,0.620,1.243,0.059,1.181,1.169,1.393,10.431,16.805,10.435,16.801,3.321,1
205,0.540,1.335,0.132,1.175,1.174,1.620,20.591,16.820,20.593,16.823,2.638,1
206,1.180,1.503,0.346,1.188,1.170,2.422,39.729,17.144,39.727,17.110,4.521,1
207,0.360,1.225,0.039,1.191,1.169,1.298,15.581,16.819,15.580,16.819,2.097,1
208,0.380,1.216,0.028,1.172,1.172,1.268,31.200,17.008,31.199,17.007,2.214,1
209,0.540,1.329,0.122,1.175,1.175,1.580,36.424,17.157,36.423,17.157,2.638,1
210,0.560,1.262,0.055,1.349,1.171,1.367,41.827,17.254,41.829,17.255,2.756,1
211,0.170,1.249,0.047,1.329,1.177,1.329,50.309,17.138,50.309,17.139,1.390,1
212,0.260,1.214,0.020,1.193,1.179,1.244,8.527,17.292,8.527,17.293,1.814,1
